ID Zone Row Col Volts Deg. Depth Side Eval Channel Location Extent

1 A-A 1 8 0.000 0 PLG 0.000

2 A-A 64 1 0.000 0 PLG 0.000

3 A-A 69 1 0.000 0 PLG 0.000

4 A-A 71 1 0.000 0 PLG 0.000

5 A-B 1 1 0.000 0 PLG 0.000

6 A-B 1 8 0.000 0 PLG 0.000

7 A-B 71 3 0.000 0 PLG 0.000

8 A-D 2 19 0.000 0 PLG 0.000

9 A-D 2 23 0.000 0 PLG 0.000

10 A-D 28 15 0.000 0 PLG 0.000

11 A-E 25 6 0.000 0 PLG 0.000

12 A-E 26 27 0.000 0 PLG 0.000

13 A-E 27 1 0.000 0 PLG 0.000

14 A-E 28 1 0.000 0 PLG 0.000

15 A-E 28 5 0.000 0 PLG 0.000

16 A-A 2 7 0.150 98 42.10 Out PIT D90 TSP4 + 0.138m 0.010

17 A-D 2 8 0.160 13 10.61 In PIT D180 TSP4 + 0.085m 0.010

18 A-A 1 1 3.660 190 DNT D180 TSP11 + 0.138m 0.020

19 A-A 1 18 3.080 190 DNT D180 TSP7 + 0.065m 0.020

20 A-A 3 1 5.730 189 DNT D180 TSP7 + 0.055m 0.040

21 A-A 4 1 2.140 191 DNT D180 TSP11 + 0.235m 0.020

22 A-A 4 8 2.430 193 DNT D180 TSP15 + 0.071m 0.020

23 A-A 4 14 2.630 190 DNT D180 TSP16 + 0.078m 0.020

24 A-A 4 16 2.000 191 DNT D180 TSP16 + 0.155m 0.020

25 A-A 7 11 8.600 190 DNT D180 TSP15 + 0.161m 0.010

26 A-A 7 15 7.030 191 DNT D180 TSP16 + 0.111m 0.020

27 A-A 7 19 7.650 191 DNT D180 TSP16 + 0.218m 0.050

28 A-A 7 24 7.130 191 DNT D180 TSP16 + 0.104m 0.030

29 A-A 8 10 7.310 191 DNT D180 TSP16 + 0.221m 0.030

30 A-A 8 14 6.120 191 DNT D180 TSP16 + 0.192m 0.040

31 A-A 8 18 7.110 191 DNT D180 TSP15 + 0.100m 0.020

32 A-A 8 23 5.970 191 DNT D180 TSP16 + 0.103m 0.020

33 A-A 18 1 2.140 193 DNT MIX1 TEO + 0.827m 0.020

34 A-A 19 1 1.320 193 DNT MIX1 TEO + 0.749m 0.010

35 A-A 20 1 1.420 194 DNT MIX1 TEO + 0.779m 0.010

36 A-A 42 27 5.480 191 DNT D180 TSP5 + 0.153m 0.020

37 A-A 66 4 5.200 191 DNT D180 TSP15 + 0.075m 0.010

38 A-A 66 8 2.800 190 DNT D180 TSP15 + 0.067m 0.010

39 A-A 66 16 3.400 190 DNT D180 TSP15 + 0.087m 0.010

40 A-A 66 24 1.890 191 DNT D180 TSP16 + 0.136m 0.010

41 A-A 67 4 1.370 191 DNT D180 TSP16 + 0.145m 0.010

42 A-A 67 8 1.700 192 DNT D180 TSP15 + 0.076m 0.010

43 A-A 67 16 2.740 191 DNT D180 TSP15 + 0.092m 0.010

44 A-A 67 23 1.370 190 DNT D180 TSP15 + 0.090m 0.010

45 A-A 68 4 1.530 191 DNT D180 TSP15 + 0.065m 0.010

46 A-A 68 8 1.220 192 DNT D180 TSP16 + 0.073m 0.010

47 A-A 68 16 1.030 192 DNT D180 TSP16 + 0.077m 0.010

48 A-A 68 23 1.590 191 DNT D180 TSP15 + 0.076m 0.010

49 A-A 69 5 1.560 191 DNT D180 TSP16 + 0.146m 0.010

50 A-A 69 11 1.470 190 DNT D180 TSP15 + 0.074m 0.010

51 A-A 69 17 1.690 191 DNT D180 TSP15 + 0.095m 0.010

52 A-A 70 1 1.760 191 DNT D180 TSP16 + 0.127m 0.010

53 A-A 70 5 2.110 190 DNT D180 TSP15 + 0.067m 0.010

54 A-A 70 17 1.170 190 DNT D180 TSP15 + 0.089m 0.010

