ID,Zone,Row,Col,Volts,Deg.,Depth,Side,Eval,Channel,Location,Extent
16,A-A,2,7,0.15,98,42.10,Out,PIT,D90,TSP4+0.138m,0.01
17,A-D,2,8,0.16,13,10.61,In,PIT,D180,TSP4+0.085m,0.01
18,A-A,1,1,3.66,190,DNT,D180,TSP11+0.138m,0.020,,
19,A-A,1,18,3.08,190,DNT,D180,TSP7+0.065m,0.020,,
20,A-A,3,1,5.73,189,DNT,D180,TSP7+0.055m,0.040,,
21,A-A,4,1,2.14,191,DNT,D180,TSP11+0.235m,0.020,,
22,A-A,4,8,2.43,193,DNT,D180,TSP15+0.071m,0.020,,
23,A-A,4,14,2.63,190,DNT,D180,TSP16+0.078m,0.020,,
24,A-A,4,16,2.0,191,DNT,D180,TSP16+0.155m,0.020,,
25,A-A,7,11,8.6,190,DNT,D180,TSP15+0.161m,0.010,,
26,A-A,7,15,7.03,191,DNT,D180,TSP16+0.111m,0.020,,
27,A-A,7,19,7.65,191,DNT,D180,TSP16+0.218m,0.050,,
28,A-A,7,24,7.13,191,DNT,D180,TSP16+0.104m,0.030,,
29,A-A,8,10,7.31,191,DNT,D180,TSP16+0.221m,0.030,,
30,A-A,8,14,6.12,191,DNT,D180,TSP16+0.192m,0.040,,
31,A-A,8,18,7.11,191,DNT,D180,TSP15+0.100m,0.020,,
32,A-A,8,23,5.97,191,DNT,D180,TSP16+0.103m,0.020,,
33,A-A,18,1,2.14,193,DNT,MIX1,TEO+0.827m,0.020,,
34,A-A,19,1,1.32,193,DNT,MIX1,TEO+0.749m,0.010,,
35,A-A,20,1,1.42,194,DNT,MIX1,TEO+0.779m,0.010,,
36,A-A,42,27,5.48,191,DNT,D180,TSP5+0.153m,0.020,,
37,A-A,66,4,5.2,191,DNT,D180,TSP15+0.075m,0.010,,
38,A-A,66,8,2.8,190,DNT,D180,TSP15+0.067m,0.010,,
39,A-A,66,16,3.4,190,DNT,D180,TSP15+0.087m,0.010,,
40,A-A,66,24,1.89,191,DNT,D180,TSP16+0.136m,0.010,,
41,A-A,67,4,1.37,191,DNT,D180,TSP16+0.145m,0.010,,
42,A-A,67,8,1.7,192,DNT,D180,TSP15+0.076m,0.010,,
43,A-A,67,16,2.74,191,DNT,D180,TSP15+0.092m,0.010,,
44,A-A,67,23,1.37,190,DNT,D180,TSP15+0.090m,0.010,,
45,A-A,68,4,1.53,191,DNT,D180,TSP15+0.065m,0.010,,
46,A-A,68,8,1.22,192,DNT,D180,TSP16+0.073m,0.010,,
47,A-A,68,16,1.03,192,DNT,D180,TSP16+0.077m,0.010,,
48,A-A,68,23,1.59,191,DNT,D180,TSP15+0.076m,0.010,,
49,A-A,69,5,1.56,191,DNT,D180,TSP16+0.146m,0.010,,
50,A-A,69,11,1.47,190,DNT,D180,TSP15+0.074m,0.010,,
51,A-A,69,17,1.69,191,DNT,D180,TSP15+0.095m,0.010,,
52,A-A,70,1,1.76,191,DNT,D180,TSP16+0.127m,0.010,,
53,A-A,70,5,2.11,190,DNT,D180,TSP15+0.067m,0.010,,
54,A-A,70,17,1.17,190,DNT,D180,TSP15+0.089m,0.010,,
55,A-A,70,24,1.87,190,DNT,D180,TSP15+0.092m,0.010,,
56,A-A,71,3,1.17,191,DNT,D180,TSP15+0.058m,0.020,,
57,A-A,71,7,1.02,192,DNT,D180,TSP15+0.059m,0.010,,
58,A-A,71,13,1.18,190,DNT,D180,TSP15+0.067m,0.010,,
59,A-A,72,3,1.22,192,DNT,D180,TSP15+0.099m,0.020,,
60,A-A,72,7,1.69,191,DNT,D180,TSP16+0.069m,0.010,,
61,A-A,72,13,1.63,190,DNT,D180,TSP16+0.064m,0.010,,
62,A-A,72,19,1.7,191,DNT,D180,TSP15+0.087m,0.010,,
63,A-A,73,8,1.03,190,DNT,D180,TSP16+0.068m,0.010,,
64,A-A,73,20,1.13,189,DNT,D180,TSP15+0.083m,0.010,,
65,A-A,76,3,1.23,190,DNT,D180,TSP7+0.287m,0.010,,
66,A-A,76,4,1.37,191,DNT,D180,TSP16+0.306m,0.010,,
67,A-A,77,14,1.04,190,DNT,D180,TSP16+0.191m,0.020,,
68,A-A,77,20,1.08,189,DNT,D180,TSP15+0.132m,0.030,,
69,A-A,78,5,1.07,190,DNT,D180,TSP15+0.078m,0.010,,
70,A-A,79,1,4.18,189,DNT,D180,TSP11+0.250m,0.020,,
71,A-A,79,24,1.2,189,DNT,D180,TSP15+0.097m,0.030,,
72,A-B,1,2,6.79,194,DNT,MIX1,TSP6+0.006m,0.020,,
73,A-B,1,3,3.64,195,DNT,MIX1,TSP6+0.007m,0.030,,
74,A-B,1,4,1.79,195,DNT,MIX1,TSP6+0.006m,0.020,,
75,A-B,1,5,3.15,190,DNT,D180,TSP3+0.146m,0.020,,
76,A-B,2,1,4.49,195,DNT,MIX1,TSP6+0.006m,0.020,,
77,A-B,2,2,3.77,195,DNT,MIX1,TSP6+0.004m,0.020,,
78,A-B,3,1,5.38,194,DNT,MIX1,TSP6+0.007m,0.020,,
79,A-B,4,1,4.99,194,DNT,MIX1,TSP6+0.007m,0.020,,
80,A-B,4,2,2.33,195,DNT,MIX1,TSP6+0.008m,0.030,,
81,A-B,4,7,1.41,190,DNT,D180,TSP15+0.098m,0.010,,
82,A-B,4,23,2.23,191,DNT,D180,TSP14+0.290m,0.020,,
83,A-B,5,1,2.84,194,DNT,MIX1,TSP6+0.006m,0.020,,
84,A-B,7,14,9.47,191,DNT,D180,TSP15+0.120m,0.030,,
85,A-B,7,18,6.29,191,DNT,D180,TSP15+0.129m,0.020,,
86,A-B,7,22,7.05,192,DNT,D180,TSP16+0.169m,0.030,,
87,A-B,7,26,8.93,191,DNT,D180,TSP16+0.096m,0.030,,
88,A-B,8,13,1.04,191,DNT,D180,TSP16+0.179m,0.020,,
89,A-B,8,17,5.32,191,DNT,D180,TSP16+0.090m,0.020,,
90,A-B,8,21,4.84,191,DNT,D180,TSP14+0.371m,0.020,,
91,A-B,8,25,6.61,191,DNT,D180,TSP16+0.209m,0.030,,
92,A-B,9,12,1.32,191,DNT,D180,TSP16+0.180m,0.010,,
93,A-B,9,16,1.53,192,DNT,MIX1,TSP15+0.004m,0.060,,
94,A-B,28,1,1.15,193,DNT,D180,TSP16+0.207m,0.030,,
95,A-B,33,1,1.15,190,DNT,D180,TSP1+0.047m,0.020,,
96,A-B,54,1,1.32,189,DNT,D180,TSP15+0.195m,0.040,,
97,A-B,54,8,1.13,190,DNT,D180,TSP15+0.097m,0.020,,
98,A-B,54,13,1.23,190,DNT,D180,TSP15+0.099m,0.020,,
99,A-B,54,19,1.14,190,DNT,D180,TSP16+0.149m,0.020,,
100,A-B,55,1,1.19,191,DNT,D180,TSP15+0.082m,0.020,,
101,A-B,55,4,1.42,190,DNT,D180,TSP15+0.227m,0.030,,
102,A-B,55,13,1.05,190,DNT,D180,TSP15+0.103m,0.020,,
103,A-B,56,14,1.22,189,DNT,D180,TSP15+0.151m,0.020,,
104,A-B,56,19,1.1,190,DNT,D180,TSP16+0.146m,0.020,,
105,A-B,57,1,1.31,191,DNT,D180,TSP16+0.153m,0.020,,
106,A-B,57,5,1.24,188,DNT,D180,TSP16+0.099m,0.020,,
107,A-B,57,9,1.14,190,DNT,D180,TSP16+0.128m,0.020,,
108,A-B,57,14,1.36,189,DNT,D180,TSP15+0.117m,0.020,,
109,A-B,57,19,1.37,190,DNT,D180,TSP15+0.101m,0.020,,
110,A-B,58,1,1.49,189,DNT,D180,TSP16+0.153m,0.030,,
111,A-B,58,9,1.29,190,DNT,D180,TSP16+0.170m,0.020,,
112,A-B,58,14,1.16,190,DNT,D180,TSP16+0.159m,0.030,,
113,A-B,58,19,1.54,189,DNT,D180,TSP16+0.091m,0.020,,
114,A-B,59,1,1.61,188,DNT,D180,TSP16+0.078m,0.020,,
115,A-B,59,5,1.65,189,DNT,D180,TSP16+0.152m,0.020,,
116,A-B,59,17,1.44,189,DNT,D180,TSP16+0.162m,0.020,,
117,A-B,60,1,1.13,190,DNT,D180,TSP15+0.096m,0.030,,
118,A-B,60,5,1.04,191,DNT,D180,TSP15+0.094m,0.020,,
119,A-B,60,11,1.27,190,DNT,D180,TSP16+0.081m,0.020,,
120,A-B,60,17,1.71,190,DNT,D180,TSP15+0.123m,0.030,,
121,A-B,61,1,4.93,189,DNT,D180,TSP4+0.155m,0.020,,
122,A-B,61,2,1.26,190,DNT,D180,TSP15+0.085m,0.020,,
123,A-B,61,18,1.06,189,DNT,D180,TSP15+0.098m,0.020,,
124,A-B,62,1,2.98,191,DNT,D180,TSP15+0.115m,0.030,,
125,A-B,62,12,1.29,189,DNT,D180,TSP16+0.137m,0.020,,
126,A-B,62,18,1.02,190,DNT,D180,TSP16+0.104m,0.020,,
127,A-B,63,4,1.17,189,DNT,D180,TSP15+0.088m,0.010,,
128,A-B,63,8,1.36,189,DNT,D180,TSP15+0.092m,0.020,,
129,A-B,63,14,1.11,189,DNT,D180,TSP15+0.101m,0.020,,
130,A-B,63,20,1.25,190,DNT,D180,TSP16+0.091m,0.020,,
131,A-B,64,15,1.09,190,DNT,D180,TSP15+0.095m,0.020,,
132,A-B,64,21,1.21,189,DNT,D180,TSP15+0.106m,0.020,,
133,A-B,65,5,1.26,189,DNT,D180,TSP15+0.086m,0.030,,
134,A-B,65,9,1.75,189,DNT,D180,TSP15+0.120m,0.030,,
135,A-B,65,17,1.59,190,DNT,D180,TSP16+0.073m,0.070,,
136,A-B,66,1,1.11,190,DNT,D180,TSP16+0.090m,0.020,,
137,A-B,66,5,1.19,190,DNT,D180,TSP15+0.091m,0.070,,
138,A-B,66,9,1.52,189,DNT,D180,TSP15+0.103m,0.070,,
139,A-B,66,17,1.66,190,DNT,D180,TSP15+0.094m,0.070,,
140,A-B,67,1,1.12,190,DNT,D180,TSP16+0.092m,0.070,,
141,A-B,67,5,1.05,189,DNT,D180,TSP16+0.089m,0.070,,
142,A-B,67,9,1.64,189,DNT,D180,TSP15+0.145m,0.050,,
143,A-B,67,17,1.12,191,DNT,D180,TSP16+0.146m,0.020,,
144,A-B,68,9,1.06,189,DNT,D180,TSP16+0.166m,0.020,,
145,A-B,69,1,1.75,190,DNT,D180,TSP16+0.089m,0.010,,
146,A-B,70,1,1.44,189,DNT,D180,TSP15+0.120m,0.020,,
147,A-B,71,4,1.14,190,DNT,D180,TSP15+0.146m,0.070,,
148,A-B,72,4,1.23,190,DNT,D180,TSP16+0.134m,0.030,,
149,A-B,72,20,1.07,189,DNT,D180,TSP16+0.102m,0.020,,
150,A-B,73,1,1.28,190,DNT,D180,TSP15+0.179m,0.050,,
151,A-B,73,9,1.09,189,DNT,D180,TSP15+0.146m,0.040,,
152,A-B,73,15,1.01,190,DNT,D180,TSP16+0.100m,0.020,,
153,A-B,73,21,1.11,189,DNT,D180,TSP15+0.099m,0.020,,
154,A-B,74,5,1.35,189,DNT,D180,TSP15+0.194m,0.040,,
155,A-B,74,15,1.19,190,DNT,D180,TSP16+0.147m,0.020,,
156,A-B,74,21,1.33,188,DNT,D180,TSP15+0.155m,0.020,,
157,A-B,75,1,1.01,190,DNT,D180,TSP16+0.149m,0.020,,
158,A-B,75,9,1.0,191,DNT,D180,TSP16+0.158m,0.020,,
159,A-B,75,15,1.49,189,DNT,D180,TSP15+0.132m,0.020,,
160,A-B,75,21,1.87,189,DNT,D180,TSP15+0.130m,0.030,,
161,A-B,76,1,1.57,190,DNT,D180,TSP15+0.121m,0.030,,
162,A-B,76,5,1.41,190,DNT,D180,TSP15+0.123m,0.020,,
163,A-B,76,15,1.12,189,DNT,D180,TSP16+0.079m,0.020,,
164,A-B,76,21,1.22,189,DNT,D180,TSP15+0.097m,0.020,,
165,A-B,77,15,1.04,190,DNT,D180,TSP15+0.113m,0.020,,
166,A-B,77,21,1.54,190,DNT,D180,TSP15+0.110m,0.020,,
167,A-B,78,1,2.83,189,DNT,D180,TSP15+0.090m,0.020,,
168,A-B,78,6,1.43,189,DNT,D180,TSP15+0.115m,0.060,,
169,A-B,78,16,1.83,189,DNT,D180,TSP15+0.239m,0.030,,
170,A-B,78,22,1.36,189,DNT,D180,TSP15+0.127m,0.030,,
171,A-B,79,1,1.17,191,DNT,D180,TSP15+0.214m,0.030,,
172,A-B,79,4,1.18,192,DNT,D180,TSP15+0.230m,0.040,,
173,A-B,79,8,1.69,189,DNT,D180,TSP15+0.191m,0.040,,
174,A-B,79,13,1.53,189,DNT,D180,TSP15+0.254m,0.040,,
175,A-B,79,19,1.55,189,DNT,D180,TSP15+0.088m,0.040,,
176,A-B,79,21,1.65,190,DNT,D180,TSP4+0.077m,0.020,,
177,A-B,79,25,1.43,189,DNT,D180,TSP16+0.088m,0.020,,
178,A-C,4,3,1.02,190,DNT,D180,TSP15+0.108m,0.040,,
179,A-C,4,7,1.1,189,DNT,D180,TSP15+0.106m,0.020,,
180,A-C,6,15,1.08,189,DNT,D180,TSP15+0.109m,0.020,,
181,A-C,8,3,1.12,189,DNT,D180,TSP16+0.097m,0.020,,
182,A-C,9,8,1.09,190,DNT,D180,TSP15+0.110m,0.020,,
183,A-C,10,7,1.2,189,DNT,D180,TSP15+0.102m,0.030,,
184,A-C,12,11,1.07,189,DNT,D180,TSP16+0.102m,0.040,,
185,A-C,12,15,1.05,190,DNT,D180,TSP16+0.160m,0.020,,
186,A-C,14,3,1.01,190,DNT,D180,TSP15+0.094m,0.060,,
187,A-C,14,11,1.0,189,DNT,D180,TSP16+0.146m,0.040,,
188,A-C,14,15,1.03,189,DNT,D180,TSP15+0.101m,0.020,,
189,A-C,16,11,1.07,190,DNT,D180,TSP16+0.127m,0.020,,
190,A-D,1,3,1.24,191,DNT,D180,TSP16+0.151m,0.050,,
191,A-D,1,7,1.07,191,DNT,D180,TSP16+0.130m,0.010,,
192,A-D,1,11,1.15,190,DNT,D180,TSP15+0.089m,0.030,,
193,A-D,1,27,1.08,192,DNT,D180,TSP15+0.104m,0.020,,
194,A-D,1,29,1.35,193,DNT,D180,TSP4+0.088m,0.020,,
195,A-D,2,4,1.07,191,DNT,D180,TSP15+0.067m,0.020,,
196,A-D,2,16,1.16,192,DNT,D180,TSP16+0.154m,0.030,,
197,A-D,2,24,1.04,193,DNT,D180,TSP15+0.097m,0.020,,
198,A-D,3,4,1.0,190,DNT,D180,TSP14+0.243m,0.020,,
199,A-D,3,8,3.14,191,DNT,D180,TSP16+0.230m,0.020,,
200,A-D,3,10,1.69,191,DNT,D180,TSP16+0.120m,0.010,,
201,A-D,3,18,1.43,193,DNT,D180,TSP15+0.091m,0.010,,
202,A-D,3,26,1.1,193,DNT,D180,TSP15+0.092m,0.020,,
203,A-D,3,34,1.3,193,DNT,D180,TSP16+0.151m,0.020,,
204,A-D,4,3,2.47,191,DNT,D180,TSP16+0.382m,0.020,,
205,A-D,4,16,1.11,194,DNT,D180,TSP15+0.076m,0.020,,
206,A-D,4,24,1.44,193,DNT,D180,TSP16+0.156m,0.030,,
207,A-D,4,31,1.01,192,DNT,D180,TSP16+0.179m,0.040,,
208,A-D,5,4,1.46,190,DNT,D180,TSP15+0.067m,0.010,,
209,A-D,5,8,1.16,191,DNT,D180,TSP15+0.065m,0.010,,
210,A-D,5,16,2.47,190,DNT,D180,TSP15+0.182m,0.040,,
211,A-D,5,24,1.97,189,DNT,D180,TSP15+0.197m,0.040,,
310,A-E,6,9,1.45,189,DNT,D180,TSP15+0.164m,0.030,,
311,A-E,6,16,1.35,191,DNT,D180,TSP15+0.103m,0.030,,
312,A-E,6,24,2.03,190,DNT,D180,TSP15+0.086m,0.030,,
313,A-E,6,32,2.34,189,DNT,D180,TSP15+0.168m,0.030,,
314,A-E,6,33,2.49,189,DNT,D180,TSP13+0.410m,0.030,,
315,A-E,7,1,2.08,189,DNT,D180,TSP15+0.103m,0.020,,
316,A-E,7,6,1.77,189,DNT,D180,TSP15+0.176m,0.030,,
317,A-E,7,10,2.75,189,DNT,D180,TSP15+0.133m,0.030,,
318,A-E,7,18,1.96,189,DNT,D180,TSP16+0.145m,0.030,,
319,A-E,7,26,2.13,189,DNT,D180,TSP15+0.087m,0.020,,
320,A-E,7,34,2.78,189,DNT,D180,TSP15+0.097m,0.020,,
321,A-E,8,1,6.81,189,DNT,D180,TSP15+0.082m,0.030,,
322,A-E,8,2,2.04,189,DNT,D180,TSP16+0.081m,0.030,,
323,A-E,8,6,2.97,190,DNT,D180,TSP15+0.201m,0.030,,
212,A-D,5,32,1.78,190,DNT,D180,TSP15+0.142m,0.030,,
213,A-D,6,4,1.14,191,DNT,D180,TSP16+0.125m,0.020,,
214,A-D,6,8,1.07,191,DNT,D180,TSP15+0.081m,0.020,,
215,A-D,6,16,2.0,190,DNT,D180,TSP15+0.132m,0.030,,
216,A-D,6,24,1.74,190,DNT,D180,TSP15+0.111m,0.020,,
217,A-D,6,32,2.23,189,DNT,D180,TSP15+0.140m,0.020,,
218,A-D,7,1,6.02,189,DNT,D180,TSP14+0.468m,0.020,,
219,A-D,7,5,1.61,190,DNT,D180,TSP16+0.132m,0.010,,
220,A-D,7,9,1.02,191,DNT,D180,TSP15+0.072m,0.010,,
221,A-D,7,15,1.48,190,DNT,D180,TSP16+0.132m,0.010,,
222,A-D,7,23,2.42,190,DNT,D180,TSP15+0.097m,0.010,,
223,A-D,7,31,2.28,190,DNT,D180,TSP16+0.091m,0.020,,
224,A-D,8,5,1.58,190,DNT,D180,TSP15+0.080m,0.020,,
225,A-D,8,9,1.17,191,DNT,D180,TSP16+0.122m,0.010,,
226,A-D,8,17,2.03,191,DNT,D180,TSP15+0.147m,0.030,,
227,A-D,8,25,2.03,190,DNT,D180,TSP15+0.105m,0.010,,
228,A-D,8,33,2.05,190,DNT,D180,TSP15+0.087m,0.030,,
229,A-D,9,15,1.01,190,DNT,D180,TSP15+0.082m,0.020,,
230,A-D,9,23,1.32,191,DNT,D180,TSP15+0.112m,0.020,,
231,A-D,9,31,1.43,190,DNT,D180,TSP15+0.146m,0.030,,
232,A-D,10,20,1.63,190,DNT,D180,TSP15+0.104m,0.020,,
233,A-D,10,28,1.42,190,DNT,D180,TSP15+0.154m,0.020,,
234,A-D,11,1,1.52,189,DNT,D180,TSP14+0.419m,0.010,,
235,A-D,11,3,1.18,191,DNT,D180,TSP16+0.136m,0.010,,
236,A-D,11,5,1.97,190,DNT,D180,TSP14+0.268m,0.010,,
237,A-D,11,9,1.07,193,DNT,D180,TSP16+0.128m,0.010,,
238,A-D,11,12,1.28,190,DNT,D180,TSP15+0.103m,0.020,,
239,A-D,11,15,1.06,191,DNT,D180,TSP15+0.095m,0.010,,
240,A-D,11,17,5.17,190,DNT,D180,TSP15+0.123m,0.020,,
241,A-D,11,22,1.12,190,DNT,D180,TSP15+0.118m,0.010,,
242,A-D,11,25,2.37,191,DNT,D180,TSP15+0.143m,0.020,,
243,A-D,11,33,3.37,190,DNT,D180,TSP15+0.170m,0.020,,
244,A-D,12,1,2.62,190,DNT,D180,TSP14+0.506m,0.010,,
245,A-D,12,5,1.48,190,DNT,D180,TSP15+0.062m,0.010,,
246,A-D,12,9,1.64,190,DNT,D180,TSP16+0.137m,0.010,,
247,A-D,12,14,2.99,190,DNT,D180,TSP16+0.150m,0.020,,
248,A-D,12,22,1.98,190,DNT,D180,TSP15+0.170m,0.020,,
249,A-D,12,30,1.48,191,DNT,D180,TSP15+0.095m,0.010,,
250,A-D,13,1,1.93,189,DNT,D180,TSP14+0.491m,0.010,,
251,A-D,13,5,1.36,190,DNT,D180,TSP16+0.140m,0.010,,
252,A-D,13,13,3.89,191,DNT,D180,TSP16+0.134m,0.010,,
253,A-D,13,14,2.19,189,DNT,D180,TSP15+0.112m,0.010,,
254,A-D,13,25,1.76,190,DNT,D180,TSP15+0.172m,0.020,,
255,A-D,13,33,1.25,191,DNT,D180,TSP16+0.164m,0.060,,
256,A-D,14,1,1.18,190,DNT,D180,TSP14+0.300m,0.010,,
257,A-D,14,22,2.18,191,DNT,D180,TSP4+0.074m,0.020,,
258,A-D,15,6,1.3,191,DNT,D180,TSP16+0.128m,0.010,,
259,A-D,15,10,1.71,189,DNT,D180,TSP16+0.205m,0.010,,
260,A-D,15,16,1.27,190,DNT,D180,TSP15+0.073m,0.060,,
261,A-D,16,6,1.39,189,DNT,D180,TSP15+0.167m,0.010,,
262,A-D,16,13,1.28,191,DNT,D180,TSP15+0.062m,0.010,,
263,A-D,16,17,1.96,190,DNT,D180,TSP15+0.122m,0.020,,
264,A-D,16,21,1.4,191,DNT,D180,TSP16+0.157m,0.020,,
265,A-D,18,12,1.58,193,DNT,D180,TSP15+0.126m,0.020,,
266,A-D,18,17,1.37,189,DNT,D180,TSP15+0.206m,0.020,,
267,A-D,19,9,1.27,189,DNT,D180,TSP15+0.447m,0.090,,
268,A-D,23,9,1.46,193,DNT,D180,TSP15+0.086m,0.020,,
269,A-D,24,1,2.03,193,DNT,D180,TSP15+0.101m,0.080,,
270,A-D,24,18,1.13,191,DNT,D180,TSP15+0.170m,0.020,,
271,A-D,25,23,1.33,189,DNT,D180,TSP15+0.120m,0.020,,
272,A-D,27,1,1.0,193,DNT,D180,TSP14+0.433m,0.020,,
273,A-D,28,9,3.39,193,DNT,D180,TSP15+0.278m,0.030,,
274,A-D,28,14,1.02,190,DNT,MIX1,TSP1+0.012m,0.020,,
275,A-D,28,21,1.01,190,DNT,D180,TSP15+0.218m,0.030,,
276,A-E,1,1,1.35,190,DNT,D180,TSP15+0.090m,0.070,,
277,A-E,1,4,1.07,190,DNT,D180,TSP15+0.128m,0.070,,
278,A-E,1,8,1.6,191,DNT,D180,TSP15+0.175m,0.030,,
279,A-E,1,16,1.62,189,DNT,D180,TSP15+0.159m,0.030,,
280,A-E,1,24,1.13,190,DNT,D180,TSP16+0.116m,0.020,,
281,A-E,1,32,1.41,188,DNT,D180,TSP15+0.127m,0.030,,
282,A-E,2,1,1.04,190,DNT,D180,TSP15+0.156m,0.030,,
