ID,Zone,Row,Col,Volts,Deg.,Depth,Side,Eval,Channel,Location,Extent
17,B,1,2.0,0.99,4.0,13.59,In,PIT,D180,TSP7+0.126m,0.02
18,B,1,3.0,0.58,6.0,18.63,In,PIT,D180,TSP10+0.337m,0.02
19,B,1,4.0,0.73,5.0,14.85,In,PIT,D180,TSP8+0.350m,0.02
20,B,1,5.0,0.8,5.0,14.92,In,PIT,D180,TSP7+0.336m,0.01
21,B,1,6.0,0.88,6.0,18.26,In,PIT,D180,TSP8+0.396m,0.03
22,B,1,8.0,0.78,6.0,17.67,In,PIT,D180,TSP9+0.136m,0.02
23,B,1,11.0,1.05,4.0,13.87,In,PIT,D180,TSP6+0.122m,0.03
24,B,1,13.0,1.33,4.0,13.35,In,PIT,D180,TSP9+0.507m,0.02
25,B,1,15.0,0.65,5.0,15.37,In,PIT,D180,TSP7+0.063m,0.03
26,B,1,16.0,1.13,7.0,21.76,In,PIT,D180,TSP11+0.071m,0.02
27,B,1,17.0,0.77,6.0,17.61,In,PIT,D180,TSP5+0.467m,0.03
28,B,1,19.0,1.29,7.0,20.83,In,PIT,D180,TSP10+0.778m,0.04
29,B,1,21.0,1.92,4.0,16.13,In,PIT,D180,TSP11+0.026m,0.01
30,B,1,22.0,3.32,9.0,27.85,In,PIT,D180,TSP10+0.173m,0.01
31,B,1,23.0,1.58,9.0,26.68,In,PIT,D180,TSP9+0.551m,0.02
32,B,1,25.0,0.93,2.0,11.66,In,PIT,D180,TSP2+0.188m,0.02
33,B,1,26.0,1.64,5.0,17.38,In,PIT,D180,TSP10+0.336m,0.03
34,B,1,27.0,1.57,6.0,21.14,In,PIT,D180,TSP5+0.275m,0.02
35,B,1,28.0,1.15,3.0,14.32,In,PIT,D180,TSP10+0.344m,0.02
36,B,1,33.0,0.73,5.0,19.27,In,PIT,D180,TSP7+0.531m,0.02
37,B,1,34.0,1.24,9.0,28.15,In,PIT,D180,TSP9+0.735m,0.02
38,B,1,35.0,0.54,6.0,19.61,In,PIT,D180,TSP9+0.092m,0.01
39,B,1,36.0,0.93,4.0,15.54,In,PIT,D180,TSP11+0.483m,0.03
40,B,1,37.0,1.13,3.0,13.12,In,PIT,D180,TSP5+0.214m,0.01
41,B,1,38.0,0.86,7.0,22.37,In,PIT,D180,TSP4+0.394m,0.01
42,B,1,39.0,1.16,6.0,20.77,In,PIT,D180,TSP10+0.279m,0.02
43,B,1,40.0,1.07,4.0,15.63,In,PIT,D180,TSP11+0.373m,0.02
44,B,1,41.0,0.96,7.0,22.60,In,PIT,D180,TSP9+0.239m,0.01
45,B,2,2.0,0.91,7.0,21.35,In,PIT,D180,TSP4+0.433m,0.03
46,B,2,6.0,1.1,3.0,10.06,In,PIT,D180,TSP5+0.489m,0.02
47,B,2,7.0,1.17,4.0,13.16,In,PIT,D180,TSP9+0.112m,0.01
48,B,2,8.0,1.21,6.0,17.13,In,PIT,D180,TSP9+0.479m,0.01
49,B,2,9.0,0.87,6.0,18.49,In,PIT,D180,TSP10+0.285m,0.02
50,B,2,12.0,1.52,6.0,19.15,In,PIT,D180,TEO+0.166m,0.02
51,B,2,13.0,1.2,7.0,20.31,In,PIT,D180,TSP11+0.310m,0.03
52,B,2,14.0,1.67,8.0,23.35,In,PIT,D180,TSP8+0.413m,0.03
53,B,2,15.0,0.95,7.0,19.68,In,PIT,D180,TSP4+0.533m,0.04
54,B,2,16.0,1.28,5.0,15.39,In,PIT,D180,TSP4+0.489m,0.02
55,B,2,17.0,0.97,3.0,11.10,In,PIT,D180,TSP4+0.368m,0.03
56,B,2,18.0,1.27,4.0,12.59,In,PIT,D180,TSP7+0.364m,0.02
57,B,2,20.0,1.09,8.0,22.25,In,PIT,D180,TSP5+0.464m,0.04
58,B,2,22.0,1.0,6.0,17.59,In,PIT,D180,TSP7+0.475m,0.01
59,B,2,24.0,1.88,11.0,31.16,In,PIT,D180,TSP8+0.230m,0.02
60,B,2,25.0,0.75,10.0,28.83,In,PIT,D180,TSP9+0.444m,0.03
61,B,2,26.0,1.15,5.0,15.70,In,PIT,D180,TSP10+0.429m,0.03
62,B,2,27.0,1.17,8.0,24.24,In,PIT,D180,TSP9+0.262m,0.02
63,B,2,28.0,2.21,10.0,28.19,In,PIT,D180,TSP11+0.719m,0.03
64,B,2,30.0,0.7,5.0,15.55,In,PIT,D180,TSP8+0.446m,0.03
65,B,2,31.0,1.43,2.0,10.34,In,PIT,D180,TSP8+0.095m,0.02
66,B,2,34.0,0.78,6.0,21.63,In,PIT,D180,TSP9+0.261m,0.01
67,B,2,35.0,1.25,5.0,17.36,In,PIT,D180,TSP11+0.155m,0.02
68,B,2,36.0,1.0,6.0,20.74,In,PIT,D180,TSP11+0.305m,0.02
69,B,2,38.0,0.73,7.0,24.08,In,PIT,D180,TSP3+0.166m,0.02
70,B,2,40.0,1.03,9.0,28.61,In,PIT,D180,TSP5+0.203m,0.02
71,B,2,41.0,0.69,3.0,12.54,In,PIT,D180,TSP11+0.398m,0.02
72,B,2,43.0,1.69,7.0,22.30,In,PIT,D180,TSP9+0.210m,0.01
73,B,2,44.0,1.64,6.0,21.63,In,PIT,D180,TSP10+0.301m,0.03
74,B,2,45.0,1.13,7.0,22.59,In,PIT,D180,TSP11+0.142m,0.02
75,B,2,47.0,1.22,7.0,22.56,In,PIT,D180,TSP9+0.411m,0.01
76,B,2,48.0,3.4,4.0,15.24,In,PIT,D180,TSP6+0.170m,0.02
77,B,2,49.0,0.82,5.0,17.85,In,PIT,D180,TSP9+0.426m,0.01
78,B,2,51.0,1.12,5.0,18.51,In,PIT,D180,TSP9+0.156m,0.03
79,B,2,52.0,0.89,6.0,20.55,In,PIT,D180,TSP9+0.110m,0.02
80,B,3,1.0,1.04,6.0,18.33,In,PIT,D180,TSP6+0.528m,0.03
81,B,3,2.0,0.76,4.0,14.07,In,PIT,D180,TSP10+0.056m,0.03
82,B,3,4.0,0.94,7.0,21.29,In,PIT,D180,TSP10+0.055m,0.02
83,B,3,5.0,0.82,7.0,19.73,In,PIT,D180,TSP8+0.611m,0.02
84,B,3,6.0,0.74,4.0,14.38,In,PIT,D180,TSP3+0.284m,0.03
85,B,3,7.0,1.78,9.0,26.55,In,PIT,D180,TSP10+0.141m,0.02
86,B,3,11.0,0.65,5.0,16.18,In,PIT,D180,TSP7+0.044m,0.03
87,B,3,12.0,1.16,7.0,21.89,In,PIT,D180,TSP9+0.207m,0.02
88,B,3,13.0,2.5,7.0,20.74,In,PIT,D180,TEO+0.197m,0.06
89,B,3,14.0,1.49,7.0,20.79,In,PIT,D180,TSP3+0.065m,0.02
90,B,3,15.0,0.54,7.0,20.54,In,PIT,D180,TSP2+0.239m,0.03
91,B,3,17.0,1.26,6.0,17.97,In,PIT,D180,TEO+0.109m,0.02
92,B,3,18.0,0.96,6.0,18.45,In,PIT,D180,TSP1+0.571m,0.02
93,B,3,19.0,1.0,5.0,17.04,In,PIT,D180,TSP6+0.579m,0.02
94,B,3,21.0,1.46,4.0,14.29,In,PIT,D180,TSP9+0.339m,0.04
95,B,3,22.0,0.81,9.0,25.30,In,PIT,D180,TSP10+0.606m,0.03
96,B,3,23.0,1.02,3.0,11.04,In,PIT,D180,TSP5+0.082m,0.02
97,B,3,25.0,1.27,6.0,19.16,In,PIT,D180,TSP5+0.671m,0.03
98,B,3,26.0,0.88,6.0,19.39,In,PIT,D180,TSP6+0.613m,0.03
99,B,3,30.0,1.3,7.0,19.72,In,PIT,D180,TSP4+0.161m,0.02
100,B,3,31.0,0.84,3.0,13.94,In,PIT,D180,TSP10+0.694m,0.02
101,B,3,32.0,1.51,7.0,21.97,In,PIT,D180,TSP10+0.694m,0.09
102,B,3,33.0,1.06,3.0,13.96,In,PIT,D180,TSP10+0.246m,0.02
103,B,3,34.0,0.78,3.0,14.02,In,PIT,D180,TSP7+0.091m,0.02
104,B,3,35.0,1.79,3.0,14.09,In,PIT,D180,TSP10+0.216m,0.02
105,B,3,36.0,0.84,9.0,28.57,In,PIT,D180,TSP9+0.444m,0.01
106,B,3,37.0,1.36,6.0,20.97,In,PIT,D180,TSP9+0.168m,0.01
107,B,3,38.0,2.79,12.0,35.20,In,PIT,D180,TSP11+0.198m,0.03
108,B,3,39.0,1.04,5.0,18.83,In,PIT,D180,TSP11+0.033m,0.01
